epoch,lr,loc_loss,conf_loss,total_loss,mAP,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
1,0.001,2.827171829855366,8.292458725583021,11.119630555438388,,,,,,,,,,,,,,,,,,,,,
2,0.001,2.434766083006646,5.353195685489922,7.787961768496569,,,,,,,,,,,,,,,,,,,,,
3,0.001,2.108312688815366,4.858650502125928,6.966963190941295,,,,,,,,,,,,,,,,,,,,,
4,0.001,1.9658461771193585,4.6385312520774304,6.604377429196789,,,,,,,,,,,,,,,,,,,,,
5,0.001,1.868729305115475,4.47116138069493,6.339890685810405,,,,,,,,,,,,,,,,,,,,,
6,0.001,1.7971843891083057,4.32677093736685,6.123955326475155,,,,,,,,,,,,,,,,,,,,,
7,0.001,1.737902686854077,4.198429144112168,5.936331830966244,,,,,,,,,,,,,,,,,,,,,
8,0.001,1.6740392454110893,4.0246922817959145,5.698731527207004,,,,,,,,,,,,,,,,,,,,,
9,0.001,1.6405500029302706,3.950138568878174,5.590688571808444,,,,,,,,,,,,,,,,,,,,,
10,0.001,1.6095509422812493,3.825134225711701,5.43468516799295,,,,,,,,,,,,,,,,,,,,,
11,0.001,1.5871104207008508,3.779776980163185,5.366887400864036,,,,,,,,,,,,,,,,,,,,,
12,0.001,1.5359414496998878,3.658509447316456,5.194450897016344,,,,,,,,,,,,,,,,,,,,,
13,0.001,1.5284788760409993,3.589054681692913,5.117533557733912,,,,,,,,,,,,,,,,,,,,,
14,0.001,1.5111591018688906,3.5163615509203283,5.027520652789219,,,,,,,,,,,,,,,,,,,,,
15,0.001,1.4627440848927589,3.4314424991607666,4.894186584053525,,,,,,,,,,,,,,,,,,,,,
16,0.001,1.4550096814040163,3.3436524442806363,4.798662125684653,,,,,,,,,,,,,,,,,,,,,
17,0.001,1.429364278437985,3.349642478736343,4.779006757174328,,,,,,,,,,,,,,,,,,,,,
18,0.001,1.4308420844898102,3.292016197921364,4.722858282411174,,,,,,,,,,,,,,,,,,,,,
19,0.001,1.4018139930287743,3.224494073041685,4.626308066070459,,,,,,,,,,,,,,,,,,,,,
20,0.001,1.3893334235355352,3.1981357146220604,4.587469138157596,,,,,,,,,,,,,,,,,,,,,
21,0.001,1.3831186719760773,3.171152625114295,4.554271297090373,,,,,,,,,,,,,,,,,,,,,
22,0.001,1.354518952643036,3.102618170391982,4.457137123035018,,,,,,,,,,,,,,,,,,,,,
23,0.001,1.354606054011424,3.0856154435759136,4.440221497587338,,,,,,,,,,,,,,,,,,,,,
24,0.001,1.332921771486853,3.0028053954908045,4.335727166977658,,,,,,,,,,,,,,,,,,,,,
25,0.001,1.3138534897451948,2.9729393758591574,4.286792865604352,,,,,,,,,,,,,,,,,,,,,
26,0.001,1.3103023110681278,2.9779567839993035,4.288259095067431,,,,,,,,,,,,,,,,,,,,,
27,0.001,1.2898604414265626,2.9369431255729337,4.2268035669994966,,,,,,,,,,,,,,,,,,,,,
28,0.001,1.2801798483368698,2.8910607319728583,4.171240580309728,,,,,,,,,,,,,,,,,,,,,
29,0.001,1.27822350202852,2.866027532869084,4.144251034897604,,,,,,,,,,,,,,,,,,,,,
30,0.001,1.2662465109187326,2.8329354076628475,4.09918191858158,,,,,,,,,,,,,,,,,,,,,
31,0.001,1.2867897297166715,2.83145940227873,4.118249131995402,,,,,,,,,,,,,,,,,,,,,
32,0.001,1.2226425686459632,2.76707499346156,3.9897175621075234,,,,,,,,,,,,,,,,,,,,,
33,0.001,1.2241912689178611,2.766739283397699,3.99093055231556,,,,,,,,,,,,,,,,,,,,,
34,0.001,1.2199855017813908,2.7545324328598704,3.974517934641261,,,,,,,,,,,,,,,,,,,,,
35,0.001,1.221031868913371,2.7077784902730566,3.928810359186428,,,,,,,,,,,,,,,,,,,,,
36,0.001,1.205988128094157,2.681193324410992,3.887181452505148,,,,,,,,,,,,,,,,,,,,,
37,0.001,1.2094684835452183,2.7018407757874505,3.911309259332669,,,,,,,,,,,,,,,,,,,,,
38,0.001,1.1884301471862064,2.6534840027997446,3.841914149985951,,,,,,,,,,,,,,,,,,,,,
39,0.001,1.1796921104382558,2.6311628636281204,3.810854974066376,,,,,,,,,,,,,,,,,,,,,
40,0.001,1.1613219665114287,2.608752741175852,3.770074707687281,,,,,,,,,,,,,,,,,,,,,
41,0.001,1.1656200878179757,2.587684351927156,3.7533044397451314,,,,,,,,,,,,,,,,,,,,,
42,0.001,1.1565258772509872,2.5458815674872914,3.702407444738279,,,,,,,,,,,,,,,,,,,,,
43,0.001,1.1553936380489616,2.5406197165228,3.696013354571761,,,,,,,,,,,,,,,,,,,,,
44,0.001,1.148051559545432,2.539150623758887,3.687202183304319,,,,,,,,,,,,,,,,,,,,,
45,0.001,1.1458698101104443,2.5309405645747094,3.6768103746851537,,,,,,,,,,,,,,,,,,,,,
46,0.001,1.126589881766374,2.513109688546248,3.639699570312621,,,,,,,,,,,,,,,,,,,,,
47,0.001,1.131805989013356,2.529522737879662,3.661328726893018,,,,,,,,,,,,,,,,,,,,,
