epoch,lr,loc_loss,conf_loss,total_loss,mAP,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
1,0.001,2.828134124137496,8.845342829891536,11.67347695402903,,,,,,,,,,,,,,,,,,,,,
2,0.001,2.679968263460621,8.421115141481025,11.101083404941646,,,,,,,,,,,,,,,,,,,,,
3,0.001,2.531453606200545,8.79110315618994,11.322556762390484,,,,,,,,,,,,,,,,,,,,,
4,0.001,2.2842942106125017,6.0435384550051054,8.327832665617606,,,,,,,,,,,,,,,,,,,,,
5,0.001,2.083676338195801,4.842745445634677,6.926421783830477,,,,,,,,,,,,,,,,,,,,,
6,0.001,1.91895819744563,4.619390796852983,6.538348994298612,,,,,,,,,,,,,,,,,,,,,
7,0.001,1.857371340603589,4.445021764328491,6.302393104932079,,,,,,,,,,,,,,,,,,,,,
8,0.001,1.7836201403239005,4.291908828090859,6.075528968414759,,,,,,,,,,,,,,,,,,,,,
9,0.001,1.7089737517648635,4.150156619886285,5.859130371651149,,,,,,,,,,,,,,,,,,,,,
10,0.001,1.6525042786445792,4.005180628876708,5.657684907521287,,,,,,,,,,,,,,,,,,,,,
11,0.001,1.6232598165398864,3.8966793665602872,5.519939183100174,,,,,,,,,,,,,,,,,,,,,
12,0.001,1.5979573868181065,3.79553513330956,5.393492520127666,,,,,,,,,,,,,,,,,,,,,
13,0.001,1.5559771790352042,3.7174214674457566,5.273398646480961,,,,,,,,,,,,,,,,,,,,,
14,0.001,1.5153859935394705,3.616550452088656,5.131936445628127,,,,,,,,,,,,,,,,,,,,,
15,0.001,1.4802761290171376,3.525964571460741,5.006240700477879,,,,,,,,,,,,,,,,,,,,,
16,0.001,1.4763312644610125,3.450217521353944,4.926548785814957,,,,,,,,,,,,,,,,,,,,,
17,0.001,1.447533675524742,3.386151640382532,4.833685315907274,,,,,,,,,,,,,,,,,,,,,
18,0.001,1.4307906132310493,3.3284812735640297,4.759271886795079,,,,,,,,,,,,,,,,,,,,,
19,0.001,1.4151811708598376,3.27838022632686,4.693561397186698,,,,,,,,,,,,,,,,,,,,,
20,0.001,1.384740226072808,3.233215977612151,4.617956203684959,,,,,,,,,,,,,,,,,,,,,
21,0.001,1.3677857744094988,3.1765224204215827,4.544308194831082,,,,,,,,,,,,,,,,,,,,,
22,0.001,1.3380488693441974,3.122065442882172,4.460114312226369,,,,,,,,,,,,,,,,,,,,,
23,0.001,1.3373318344490712,3.0723567248479418,4.409688559297013,,,,,,,,,,,,,,,,,,,,,
24,0.001,1.3383420120635534,3.0805462114342816,4.418888223497835,,,,,,,,,,,,,,,,,,,,,
25,0.001,1.3109131087995556,2.993992108732598,4.304905217532154,,,,,,,,,,,,,,,,,,,,,
26,0.001,1.293034162423382,2.956995260769918,4.2500294231933005,,,,,,,,,,,,,,,,,,,,,
27,0.001,1.286887633473906,2.933382002730348,4.220269636204254,,,,,,,,,,,,,,,,,,,,,
28,0.001,1.2772896866820174,2.897854673263689,4.1751443599457065,,,,,,,,,,,,,,,,,,,,,
29,0.001,1.2656638290239797,2.875093342506722,4.140757171530701,,,,,,,,,,,,,,,,,,,,,
30,0.001,1.2553959614065684,2.835322017539037,4.090717978945606,,,,,,,,,,,,,,,,,,,,,
31,0.001,1.2418742163540566,2.8066359317466003,4.048510148100657,,,,,,,,,,,,,,,,,,,,,
32,0.001,1.2228543826434166,2.7611742466007736,3.9840286292441904,,,,,,,,,,,,,,,,,,,,,
33,0.001,1.221252028800581,2.759708359905574,3.980960388706155,,,,,,,,,,,,,,,,,,,,,
34,0.001,1.2012834783014097,2.741128016824592,3.9424114951260014,,,,,,,,,,,,,,,,,,,,,
35,0.001,1.2151067493713066,2.697468660737826,3.912575410109133,,,,,,,,,,,,,,,,,,,,,
36,0.001,1.1881021018986289,2.672245605895508,3.860347707794137,,,,,,,,,,,,,,,,,,,,,
37,0.001,1.1949967045217889,2.685598207935351,3.88059491245714,,,,,,,,,,,,,,,,,,,,,
38,0.001,1.1682158860986092,2.645946107498587,3.814161993597196,,,,,,,,,,,,,,,,,,,,,
39,0.001,1.166411738145297,2.622931660038151,3.789343398183448,,,,,,,,,,,,,,,,,,,,,
