epoch,lr,loc_loss,conf_loss,total_loss,mAP,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
1,0.001,2.5672338564101964,7.037074341621573,9.60430819803177,,,,,,,,,,,,,,,,,,,,,
2,0.001,2.089051895489976,4.833546712518283,6.922598608008259,,,,,,,,,,,,,,,,,,,,,
3,0.001,1.898850947754568,4.670236785662229,6.569087733416797,,,,,,,,,,,,,,,,,,,,,
4,0.001,1.7738297344887093,4.446371065427179,6.220200799915888,,,,,,,,,,,,,,,,,,,,,
5,0.001,1.7040136742265255,4.232102765340239,5.9361164395667645,,,,,,,,,,,,,,,,,,,,,
6,0.001,1.6442241685031211,4.101822832403662,5.746047000906783,,,,,,,,,,,,,,,,,,,,,
7,0.001,1.5965727839840058,3.945379613197013,5.541952397181019,,,,,,,,,,,,,,,,,,,,,
8,0.001,1.5570472467979883,3.830366002914568,5.387413249712556,,,,,,,,,,,,,,,,,,,,,
9,0.001,1.519766083046726,3.720876569617285,5.24064265266401,,,,,,,,,,,,,,,,,,,,,
10,0.001,1.4998557409739386,3.614304458713967,5.114160199687905,,,,,,,,,,,,,,,,,,,,,
11,0.001,1.472578921818842,3.550574013087303,5.023152934906145,,,,,,,,,,,,,,,,,,,,,
12,0.001,1.4499580217823047,3.463256650863717,4.9132146726460215,,,,,,,,,,,,,,,,,,,,,
13,0.001,1.409926079723933,3.37086563023258,4.780791709956513,,,,,,,,,,,,,,,,,,,,,
14,0.001,1.401652349184637,3.309287649311432,4.710939998496069,,,,,,,,,,,,,,,,,,,,,
15,0.001,1.3861528694901837,3.2444130274803125,4.630565896970496,,,,,,,,,,,,,,,,,,,,,
16,0.001,1.356557935884554,3.183035992051913,4.539593927936467,,,,,,,,,,,,,,,,,,,,,
17,0.001,1.3392911496227735,3.1345309764827225,4.473822126105496,,,,,,,,,,,,,,,,,,,,,
18,0.001,1.3250703585746626,3.09583966808232,4.420910026656983,,,,,,,,,,,,,,,,,,,,,
19,0.001,1.3132223247393082,3.033139551066917,4.346361875806225,,,,,,,,,,,,,,,,,,,,,
20,0.001,1.3013439608491175,3.0007219173048183,4.302065878153936,,,,,,,,,,,,,,,,,,,,,
21,0.001,1.2800636822230196,2.946597298530683,4.226660980753703,,,,,,,,,,,,,,,,,,,,,
22,0.001,1.2639310294634676,2.93868744427755,4.202618473741017,,,,,,,,,,,,,,,,,,,,,
23,0.001,1.2551962071902132,2.889415096474565,4.144611303664778,,,,,,,,,,,,,,,,,,,,,
24,0.001,1.2597567245840482,2.8717575519596603,4.131514276543708,,,,,,,,,,,,,,,,,,,,,
25,0.001,1.2378673673220422,2.8334669359198443,4.071334303241887,,,,,,,,,,,,,,,,,,,,,
