epoch,lr,loc_loss,conf_loss,total_loss,mAP,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
1,0.001,2.8790805015563965,9.299241214752197,12.178321716308592,,,,,,,,,,,,,,,,,,,,,
2,0.001,2.51773844909668,5.538605792999268,8.056344242095948,,,,,,,,,,,,,,,,,,,,,
3,0.001,2.2144169111251832,4.955893909454345,7.1703108205795285,,,,,,,,,,,,,,,,,,,,,
4,0.001,2.061998135566712,4.753659729003906,6.815657864570618,,,,,,,,,,,,,,,,,,,,,
5,0.001,1.945811467170716,4.612189716339112,6.558001183509827,,,,,,,,,,,,,,,,,,,,,
6,0.001,1.8817153215408324,4.495206121444702,6.376921442985534,,,,,,,,,,,,,,,,,,,,,
7,0.001,1.8248015441894527,4.330779912948608,6.155581457138061,,,,,,,,,,,,,,,,,,,,,
8,0.001,1.7797601919174195,4.227120122909546,6.006880314826965,,,,,,,,,,,,,,,,,,,,,
9,0.001,1.737226085662842,4.11566204071045,5.852888126373292,,,,,,,,,,,,,,,,,,,,,
10,0.001,1.6928992471694946,4.027841386795044,5.720740633964538,,,,,,,,,,,,,,,,,,,,,
11,0.001,1.683588596343994,3.951667150497436,5.63525574684143,,,,,,,,,,,,,,,,,,,,,
12,0.001,1.6506913909912109,3.8375404663085937,5.488231857299804,,,,,,,,,,,,,,,,,,,,,
13,0.001,1.595143874168396,3.7668094959259033,5.3619533700943,,,,,,,,,,,,,,,,,,,,,
14,0.001,1.60287970161438,3.7030999279022216,5.305979629516601,,,,,,,,,,,,,,,,,,,,,
15,0.001,1.5653872089385987,3.62033989906311,5.185727108001709,,,,,,,,,,,,,,,,,,,,,
16,0.001,1.5519783754348755,3.603535545349121,5.155513920783997,,,,,,,,,,,,,,,,,,,,,
17,0.001,1.5419443702697757,3.560283853530884,5.102228223800659,,,,,,,,,,,,,,,,,,,,,
18,0.001,1.5157370557785037,3.450355409622192,4.966092465400696,,,,,,,,,,,,,,,,,,,,,
19,0.001,1.4954171295166017,3.42170573425293,4.9171228637695314,,,,,,,,,,,,,,,,,,,,,
20,0.001,1.4642124719619751,3.366866418838501,4.831078890800477,,,,,,,,,,,,,,,,,,,,,
21,0.001,1.450510863304138,3.338531690597534,4.789042553901672,,,,,,,,,,,,,,,,,,,,,
22,0.001,1.4384775342941285,3.296200654983521,4.734678189277649,,,,,,,,,,,,,,,,,,,,,
23,0.001,1.4466328477859498,3.265780912399292,4.712413760185242,,,,,,,,,,,,,,,,,,,,,
24,0.001,1.413144169807434,3.228215528488159,4.641359698295593,,,,,,,,,,,,,,,,,,,,,
25,0.001,1.4059403686523435,3.17966784286499,4.585608211517334,,,,,,,,,,,,,,,,,,,,,
26,0.001,1.3904806699752807,3.1495517253875733,4.540032395362854,,,,,,,,,,,,,,,,,,,,,
27,0.001,1.365840931415558,3.100955135345459,4.466796066761017,,,,,,,,,,,,,,,,,,,,,
28,0.001,1.3629948806762695,3.091765798568725,4.454760679244995,,,,,,,,,,,,,,,,,,,,,
29,0.001,1.3564812145233154,3.0530532932281496,4.409534507751465,,,,,,,,,,,,,,,,,,,,,
30,0.001,1.3336321849823,3.0182134475708007,4.3518456325531005,,,,,,,,,,,,,,,,,,,,,
31,0.001,1.3505960988998411,2.9988452625274657,4.349441361427307,,,,,,,,,,,,,,,,,,,,,
32,0.001,1.32726070356369,2.9780040798187257,4.305264783382416,,,,,,,,,,,,,,,,,,,,,
33,0.001,1.3011645245552064,2.929447015762329,4.230611540317535,,,,,,,,,,,,,,,,,,,,,
34,0.001,1.2952385830879212,2.878350698471069,4.17358928155899,,,,,,,,,,,,,,,,,,,,,
35,0.001,1.2854629402160644,2.900211025238037,4.185673965454102,,,,,,,,,,,,,,,,,,,,,
36,0.001,1.269114468097687,2.845012523651123,4.11412699174881,,,,,,,,,,,,,,,,,,,,,
37,0.001,1.2658506669998169,2.8095504817962644,4.0754011487960815,,,,,,,,,,,,,,,,,,,,,
38,0.001,1.2490784482955932,2.8283083915710447,4.077386839866638,,,,,,,,,,,,,,,,,,,,,
39,0.001,1.2674231977462769,2.812605527877808,4.080028725624085,,,,,,,,,,,,,,,,,,,,,
40,0.001,1.2217180132865906,2.7756107082366945,3.997328721523285,,,,,,,,,,,,,,,,,,,,,
41,0.001,1.2408010792732238,2.7444434490203857,3.9852445282936095,,,,,,,,,,,,,,,,,,,,,
42,0.001,1.2050046668052674,2.731371757507324,3.936376424312592,,,,,,,,,,,,,,,,,,,,,
43,0.001,1.218969792366028,2.7113424587249755,3.9303122510910034,,,,,,,,,,,,,,,,,,,,,
44,0.001,1.217734872341156,2.685833065032959,3.903567937374115,,,,,,,,,,,,,,,,,,,,,
45,0.001,1.2033174376487732,2.685373899459839,3.888691337108612,,,,,,,,,,,,,,,,,,,,,
46,0.001,1.1942843890190125,2.670226181030273,3.864510570049286,,,,,,,,,,,,,,,,,,,,,
47,0.001,1.1813175754547118,2.660366554260254,3.8416841297149658,,,,,,,,,,,,,,,,,,,,,
48,0.001,1.165922270298004,2.6248156681060792,3.7907379384040834,,,,,,,,,,,,,,,,,,,,,
49,0.001,1.1813850836753843,2.6198450965881346,3.801230180263519,,,,,,,,,,,,,,,,,,,,,
50,0.001,1.1832329797744752,2.605261131286621,3.788494111061096,,,,,,,,,,,,,,,,,,,,,
51,0.001,1.1715120496749878,2.5897067108154297,3.7612187604904177,,,,,,,,,,,,,,,,,,,,,
52,0.001,1.1402760548591613,2.5385843296051025,3.678860384464264,,,,,,,,,,,,,,,,,,,,,
53,0.001,1.142594985961914,2.514615474700928,3.657210460662842,,,,,,,,,,,,,,,,,,,,,
54,0.001,1.1173331928253174,2.4946466789245605,3.611979871749878,,,,,,,,,,,,,,,,,,,,,
55,0.001,1.150985719203949,2.533991777420044,3.684977496623993,,,,,,,,,,,,,,,,,,,,,
56,0.001,1.124624879360199,2.505428735733032,3.630053615093231,,,,,,,,,,,,,,,,,,,,,
57,0.001,1.1062727227210998,2.465997478485108,3.572270201206207,,,,,,,,,,,,,,,,,,,,,
58,0.001,1.115071568965912,2.4662087202072143,3.581280289173126,,,,,,,,,,,,,,,,,,,,,
59,0.001,1.1060578398704528,2.453128345489502,3.5591861853599545,,,,,,,,,,,,,,,,,,,,,
60,0.001,1.0994861993789673,2.4341783084869384,3.5336645078659057,,,,,,,,,,,,,,,,,,,,,
61,0.001,1.1037401504516602,2.434571584701538,3.538311735153198,,,,,,,,,,,,,,,,,,,,,
62,0.001,1.0909233832359313,2.4156489963531493,3.5065723795890804,,,,,,,,,,,,,,,,,,,,,
63,0.001,1.0909483585357669,2.3992729969024658,3.4902213554382326,,,,,,,,,,,,,,,,,,,,,
64,0.001,1.0855336713790893,2.4232022638320925,3.508735935211182,,,,,,,,,,,,,,,,,,,,,
65,0.001,1.0701178402900695,2.349128539085388,3.419246379375457,,,,,,,,,,,,,,,,,,,,,
66,0.001,1.0631754040718078,2.352789024353027,3.415964428424835,,,,,,,,,,,,,,,,,,,,,
67,0.001,1.0554099268913268,2.3726405420303345,3.4280504689216613,,,,,,,,,,,,,,,,,,,,,
68,0.001,1.0611221523284913,2.3549845962524416,3.416106748580933,,,,,,,,,,,,,,,,,,,,,
69,0.001,1.06647220993042,2.354491816520691,3.420964026451111,,,,,,,,,,,,,,,,,,,,,
70,0.001,1.0385182642936706,2.3084603271484374,3.346978591442108,,,,,,,,,,,,,,,,,,,,,
71,0.001,1.0475188212394717,2.3399890232086182,3.387507844448089,,,,,,,,,,,,,,,,,,,,,
72,0.001,1.032715022087097,2.302148196220398,3.334863218307495,,,,,,,,,,,,,,,,,,,,,
73,0.001,1.0497110857963563,2.30382460975647,3.353535695552826,,,,,,,,,,,,,,,,,,,,,
74,0.001,1.0350725088119508,2.2818089036941527,3.3168814125061035,,,,,,,,,,,,,,,,,,,,,
75,0.001,1.0146218209266662,2.288334987640381,3.302956808567047,,,,,,,,,,,,,,,,,,,,,
76,0.001,1.026285541534424,2.280790027618408,3.307075569152832,,,,,,,,,,,,,,,,,,,,,
77,0.001,1.0298145108222962,2.2594671831130984,3.2892816939353944,,,,,,,,,,,,,,,,,,,,,
78,0.001,1.0151164135932922,2.251529996871948,3.26664641046524,,,,,,,,,,,,,,,,,,,,,
79,0.001,1.0187856040000915,2.255778307914734,3.274563911914825,,,,,,,,,,,,,,,,,,,,,
80,0.001,1.0114277243614196,2.2024460306167604,3.21387375497818,,,,,,,,,,,,,,,,,,,,,
81,0.001,1.0122888565063477,2.237106911659241,3.2493957681655887,,,,,,,,,,,,,,,,,,,,,
82,0.001,0.9959463930130004,2.2066432657241823,3.2025896587371827,,,,,,,,,,,,,,,,,,,,,
83,0.001,0.9911390461921692,2.2135778970718385,3.204716943264008,,,,,,,,,,,,,,,,,,,,,
84,0.001,0.9853438091278076,2.1893736419677734,3.174717451095581,,,,,,,,,,,,,,,,,,,,,
85,0.001,0.9650327997207642,2.179714051246643,3.1447468509674072,,,,,,,,,,,,,,,,,,,,,
86,0.001,0.9710420269966126,2.1552600259780883,3.126302052974701,,,,,,,,,,,,,,,,,,,,,
87,0.001,0.972757836341858,2.1663244371414185,3.139082273483276,,,,,,,,,,,,,,,,,,,,,
88,0.001,0.978776423931122,2.202320824623108,3.18109724855423,,,,,,,,,,,,,,,,,,,,,
89,0.001,0.9745317087173462,2.161557964324951,3.1360896730422976,,,,,,,,,,,,,,,,,,,,,
90,0.001,0.9491641945838928,2.14249093914032,3.0916551337242124,,,,,,,,,,,,,,,,,,,,,
91,0.001,0.9581691102981568,2.144625198364258,3.1027943086624146,,,,,,,,,,,,,,,,,,,,,
92,0.001,0.9570422587394716,2.118871658325195,3.0759139170646668,,,,,,,,,,,,,,,,,,,,,
93,0.001,0.9328854765892028,2.1040425539016723,3.0369280304908752,,,,,,,,,,,,,,,,,,,,,
94,0.001,0.9432446703910828,2.1115820932388307,3.0548267636299133,,,,,,,,,,,,,,,,,,,,,
95,0.001,0.9461267375946044,2.123025905609131,3.0691526432037355,,,,,,,,,,,,,,,,,,,,,
96,0.001,0.9380704760551452,2.080585205078125,3.01865568113327,,,,,,,,,,,,,,,,,,,,,
97,0.001,0.9231648054122924,2.102049538612366,3.0252143440246586,,,,,,,,,,,,,,,,,,,,,
98,0.001,0.9135920600891112,2.071131852149964,2.9847239122390747,,,,,,,,,,,,,,,,,,,,,
99,0.001,0.931822642326355,2.092644783973694,3.024467426300049,,,,,,,,,,,,,,,,,,,,,
100,0.001,0.9231667914390564,2.057709652900696,2.980876444339752,,,,,,,,,,,,,,,,,,,,,
101,0.001,0.9303721299171448,2.0634308166503907,2.9938029465675355,,,,,,,,,,,,,,,,,,,,,
102,0.001,0.9233796401023864,2.0596166400909426,2.982996280193329,,,,,,,,,,,,,,,,,,,,,
103,0.001,0.927214689731598,2.0402794313430785,2.9674941210746764,,,,,,,,,,,,,,,,,,,,,
104,0.001,0.9131811022758484,2.039154553413391,2.9523356556892395,,,,,,,,,,,,,,,,,,,,,
105,0.001,0.9011890015602112,2.0224408321380616,2.9236298336982727,,,,,,,,,,,,,,,,,,,,,
106,0.001,0.8912343649864197,2.023603103637696,2.914837468624115,,,,,,,,,,,,,,,,,,,,,
107,0.001,0.8964548025131226,2.022629816055298,2.9190846185684203,,,,,,,,,,,,,,,,,,,,,
108,0.001,0.9162367601394652,2.033398624420166,2.949635384559631,,,,,,,,,,,,,,,,,,,,,
109,0.001,0.8951880345344544,2.005635663986206,2.9008236985206604,,,,,,,,,,,,,,,,,,,,,
110,0.001,0.8864978494644165,1.991415611267089,2.8779134607315062,,,,,,,,,,,,,,,,,,,,,
111,0.001,0.8868645467758178,1.989998417854309,2.876862964630127,,,,,,,,,,,,,,,,,,,,,
112,0.001,0.8963425931930542,2.0053190364837645,2.901661629676819,,,,,,,,,,,,,,,,,,,,,
113,0.001,0.8958032250404357,2.0120673789978025,2.907870604038238,,,,,,,,,,,,,,,,,,,,,
114,0.001,0.8793528876304626,1.969432579040528,2.84878546667099,,,,,,,,,,,,,,,,,,,,,
115,0.001,0.8653572573661804,1.945523895263672,2.8108811526298525,,,,,,,,,,,,,,,,,,,,,
116,0.001,0.8928796887397766,1.991551685333252,2.8844313740730287,,,,,,,,,,,,,,,,,,,,,
117,0.001,0.8541916847229004,1.923824194908142,2.7780158796310426,,,,,,,,,,,,,,,,,,,,,
118,0.001,0.8526899762153626,1.9252768239974976,2.77796680021286,,,,,,,,,,,,,,,,,,,,,
119,0.001,0.8618319292068481,1.9410667181015016,2.80289864730835,,,,,,,,,,,,,,,,,,,,,
120,0.001,0.8712317485809327,1.944021350860596,2.815253099441528,,,,,,,,,,,,,,,,,,,,,
121,0.001,0.8528658447265625,1.9437447748184205,2.7966106195449827,,,,,,,,,,,,,,,,,,,,,
122,0.001,0.8557857971191406,1.9249250793457031,2.780710876464844,,,,,,,,,,,,,,,,,,,,,
123,0.001,0.8413135566711426,1.933906662940979,2.7752202196121214,,,,,,,,,,,,,,,,,,,,,
